c1cc(ccc1)I Phenyl-Iodide2.log
Phenyl-Iodide2.log
   ES          Sym        eV     Ux(D)     Uy(D)     Uz(D)      U(D)         f Krad(s-1)
    1    Triplet-A    3.7020    0.0000    0.0000    0.0000    0.0000    0.0000 0.0000E+00 3.702005764502109
    2    Triplet-A    3.9853    0.0000    0.0000    0.0000    0.0000    0.0000 0.0000E+00 3.985349916464320
    3    Singlet-A    4.5378    0.0000    0.0000    0.3053    0.3050    0.0016 1.4305E+06 4.537772616888651
    4    Triplet-A    4.5381    0.0000    0.0000    0.0000    0.0000    0.0000 0.0000E+00 4.538077250614362
    5    Triplet-A    4.5931    0.0000    0.0000    0.0000    0.0000    0.0000 0.0000E+00 4.593059965476837
    6    Triplet-A    4.6627    0.0000    0.0000    0.0000    0.0000    0.0000 0.0000E+00 4.662738456924106
    7    Singlet-A    5.2165    0.0000    0.0003    0.0000    0.0000    0.0000 0.0000E+00 5.216537043373416
    8    Singlet-A    5.2425    0.0000   -0.2829    0.0000    0.2830    0.0016 1.8994E+06 5.242523692664255
    9    Singlet-A    5.2771    0.0000    0.3985    0.0000    0.3987    0.0032 3.8432E+06 5.277118407747877
   10    Singlet-A    5.6843    2.3849    0.0000    0.0000    2.3849    0.1226 1.7190E+08 5.684283372162001
