Price hub,Trade date,Delivery start date,Delivery end date,High price $/MWh,Low price $/MWh,Contract Avg Price $/MWh,Change,Daily volume MWh,Number of trades,Number of counterparties
ERCOT North 345KV Peak,04/01/2018,01/05/18,01/05/18,42.00,36.00,39.00,16.00,"1,600",2,4
ERCOT North 345KV Peak,11/01/2018,01/12/18,01/12/18,34.00,34.00,34.00,-5.00,800,1,2
ERCOT North 345KV Peak,15/01/2018,01/16/18,01/16/18,80.00,75.00,77.50,43.50,"1,600",2,4
ERCOT North 345KV Peak,18/01/2018,01/19/18,01/19/18,31.00,31.00,31.00,-46.5,800,1,2
ERCOT North 345KV Peak,22/01/2018,01/23/18,01/23/18,27.50,27.25,27.38,-3.62,"1,600",2,3
ERCOT North 345KV Peak,24/01/2018,01/25/18,01/25/18,26.00,25.75,25.92,-1.46,"2,400",3,3
ERCOT North 345KV Peak,25/01/2018,01/26/18,01/26/18,25.25,25.00,25.13,-0.79,"1,600",2,3
ERCOT North 345KV Peak,29/01/2018,01/30/18,01/30/18,26.00,26.00,26.00,0.87,"2,400",3,3
ERCOT North 345KV Peak,01/02/2018,02/02/18,02/02/18,25.50,25.00,25.25,-0.75,"5,600",6,5
ERCOT North 345KV Peak,06/02/2018,02/07/18,02/07/18,27.00,25.50,26.25,1.00,"3,200",4,3
ERCOT North 345KV Peak,08/02/2018,02/09/18,02/09/18,21.50,21.50,21.50,-4.75,"9,600",4,4
ERCOT North 345KV Peak,16/02/2018,02/19/18,02/19/18,22.00,20.25,21.19,-0.31,"12,800",15,7
ERCOT North 345KV Peak,20/02/2018,02/21/18,02/21/18,26.00,24.75,25.40,4.21,"4,000",5,4
ERCOT North 345KV Peak,21/02/2018,02/22/18,02/22/18,33.00,32.50,32.90,7.50,"4,800",6,5
ERCOT North 345KV Peak,22/02/2018,02/23/18,02/23/18,26.00,26.00,26.00,-6.90,"2,400",3,4
ERCOT North 345KV Peak,23/02/2018,02/26/18,02/26/18,26.00,26.00,26.00,0.00,"1,600",2,2
ERCOT North 345KV Peak,26/02/2018,02/27/18,02/27/18,23.00,22.75,22.91,-3.09,"8,800",3,4
ERCOT North 345KV Peak,02/03/2018,03/05/18,03/05/18,25.75,24.50,25.15,2.24,"9,600",12,6
ERCOT North 345KV Peak,05/03/2018,03/06/18,03/06/18,28.00,28.00,28.00,2.85,800,1,2
ERCOT North 345KV Peak,06/03/2018,03/07/18,03/07/18,29.75,29.75,29.75,1.75,800,1,2
ERCOT North 345KV Peak,09/03/2018,03/12/18,03/12/18,28.00,28.00,28.00,-1.75,800,1,2
ERCOT North 345KV Peak,12/03/2018,03/13/18,03/13/18,31.00,30.00,30.42,2.42,"7,200",9,4
ERCOT North 345KV Peak,16/03/2018,03/19/18,03/19/18,26.00,26.00,26.00,-4.42,800,1,2
ERCOT North 345KV Peak,19/03/2018,03/20/18,03/20/18,26.50,26.50,26.50,0.50,800,1,2
ERCOT North 345KV Peak,21/03/2018,03/22/18,03/22/18,24.00,24.00,24.00,-2.50,"1,600",2,3
ERCOT North 345KV Peak,26/03/2018,03/27/18,03/27/18,30.50,30.50,30.50,6.50,800,1,2
ERCOT North 345KV Peak,27/03/2018,03/28/18,03/28/18,30.50,30.50,30.50,0.00,"10,400",12,8
ERCOT North 345KV Peak,28/03/2018,03/29/18,03/29/18,29.00,29.00,29.00,-1.50,"4,000",5,6
ERCOT North 345KV Peak,29/03/2018,03/30/18,03/30/18,26.50,26.50,26.50,-2.50,"3,200",1,2
ERCOT North 345KV Peak,04/04/2018,04/05/18,04/05/18,27.00,27.00,27.00,0.50,800,1,2
ERCOT North 345KV Peak,09/04/2018,04/10/18,04/10/18,31.00,30.00,30.50,3.50,"1,600",2,3
ERCOT North 345KV Peak,11/04/2018,04/12/18,04/12/18,25.00,24.50,24.60,-5.90,"4,000",3,2
ERCOT North 345KV Peak,13/04/2018,04/16/18,04/16/18,26.00,25.00,25.67,1.07,"2,400",3,4
